Country or Area,Year,Area,Record Type,Reliability,Source Year,Value,Value Footnotes
Czechia,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,30783,
Czechia,2010,Urban,Data tabulated by year of occurrence,"Final figure, complete",2011,23497,
Czechia,2010,Rural,Data tabulated by year of occurrence,"Final figure, complete",2011,7286,
Czechia,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2010,29133,
Czechia,2009,Urban,Data tabulated by year of occurrence,"Final figure, complete",2010,22147,
Czechia,2009,Rural,Data tabulated by year of occurrence,"Final figure, complete",2010,6986,
Czechia,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2009,31300,
Czechia,2008,Urban,Data tabulated by year of occurrence,"Final figure, complete",2009,24574,
Czechia,2008,Rural,Data tabulated by year of occurrence,"Final figure, complete",2009,6726,
Denmark,2023,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,12862,14
Denmark,2022,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,12320,14
Denmark,2021,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,12886,14
Denmark,2020,Total,Data tabulated by year of occurrence,"Final figure, complete",2021,15651,14
Denmark,2019,Total,Data tabulated by year of occurrence,"Final figure, complete",2021,10530,14
Denmark,2018,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,15034,14
Denmark,2017,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,15265,14
Denmark,2016,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,17222,14
Denmark,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,16343,14
Denmark,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,19435,14
Denmark,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2014,18875,14
Denmark,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2013,15709,14
Denmark,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2012,14484,14
Denmark,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,14460,14
Denmark,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2010,14940,14
Denmark,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2009,14695,14
Dominica,2020,Total,Data tabulated by year of registration,"Final figure, complete",2021,64,
Dominica,2019,Total,Data tabulated by year of registration,"Final figure, complete",2021,86,
Dominica,2018,Total,Data tabulated by year of registration,"Final figure, complete",2021,147,
Dominica,2017,Total,Data tabulated by year of registration,"Final figure, complete",2020,67,
Dominica,2016,Total,Data tabulated by year of registration,"Final figure, complete",2020,81,
Dominica,2015,Total,Data tabulated by year of registration,"Final figure, complete",2020,85,
Dominica,2014,Total,Data tabulated by year of registration,"Final figure, complete",2016,80,
Dominica,2013,Total,Data tabulated by year of registration,"Final figure, complete",2016,81,
Dominica,2012,Total,Data tabulated by year of registration,"Final figure, complete",2016,82,
Dominica,2011,Total,Data tabulated by year of registration,"Final figure, complete",2016,78,
Dominica,2010,Total,Data tabulated by year of registration,"Final figure, complete",2016,75,
Dominica,2009,Total,Data tabulated by year of registration,"Final figure, complete",2016,85,
Dominica,2008,Total,Data tabulated by year of registration,"Final figure, complete",2016,91,
Dominican Republic,2024,Total,Data tabulated by year of registration,"Final figure, complete",2025,26210,
Dominican Republic,2023,Total,Data tabulated by year of registration,"Final figure, complete",2025,25914,
Dominican Republic,2022,Total,Data tabulated by year of registration,"Final figure, complete",2025,28645,
Dominican Republic,2021,Total,Data tabulated by year of registration,"Final figure, complete",2025,28694,
Dominican Republic,2020,Total,Data tabulated by year of registration,"Final figure, complete",2025,12553,
Dominican Republic,2019,Total,Data tabulated by year of registration,"Final figure, complete",2025,26115,
Dominican Republic,2018,Total,Data tabulated by year of registration,"Final figure, complete",2025,24772,
Dominican Republic,2017,Total,Data tabulated by year of registration,"Final figure, complete",2025,24218,
Dominican Republic,2016,Total,Data tabulated by year of registration,"Final figure, complete",2025,21873,
Dominican Republic,2015,Total,Data tabulated by year of registration,"Final figure, complete",2025,20352,
Dominican Republic,2014,Total,Data tabulated by year of registration,"Final figure, complete",2025,19370,
Dominican Republic,2013,Total,Data tabulated by year of registration,"Final figure, complete",2023,18882,
Dominican Republic,2012,Total,Data tabulated by year of registration,"Final figure, complete",2023,17820,
Dominican Republic,2011,Total,Data tabulated by year of registration,"Final figure, complete",2022,17927,
Dominican Republic,2010,Total,Data tabulated by year of registration,"Final figure, complete",2021,17674,
Dominican Republic,2009,Total,Data tabulated by year of registration,"Final figure, complete",2020,16408,
Dominican Republic,2008,Total,Data tabulated by year of registration,"Final figure, complete",2019,17181,
Egypt,2022,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,258757,15
Egypt,2022,Urban,Data tabulated by year of occurrence,"Final figure, complete",2024,145467,15
Egypt,2022,Rural,Data tabulated by year of occurrence,"Final figure, complete",2024,113290,15
Egypt,2021,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,243583,15
Egypt,2021,Urban,Data tabulated by year of occurrence,"Final figure, complete",2024,133417,15
Egypt,2021,Rural,Data tabulated by year of occurrence,"Final figure, complete",2024,110166,15
Egypt,2020,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,213950,15
Egypt,2020,Urban,Data tabulated by year of occurrence,"Final figure, complete",2024,116845,15
Egypt,2020,Rural,Data tabulated by year of occurrence,"Final figure, complete",2024,97105,15
Egypt,2019,Total,Data tabulated by year of registration,"Final figure, complete",2021,225929,15
Egypt,2019,Urban,Data tabulated by year of registration,"Final figure, complete",2021,121552,15
Egypt,2019,Rural,Data tabulated by year of registration,"Final figure, complete",2021,104377,15
Egypt,2018,Total,Data tabulated by year of registration,"Final figure, complete",2021,211554,15
Egypt,2018,Urban,Data tabulated by year of registration,"Final figure, complete",2021,121714,15
Egypt,2018,Rural,Data tabulated by year of registration,"Final figure, complete",2021,89840,15
Egypt,2017,Total,Data tabulated by year of registration,"Final figure, complete",2018,198269,15
Egypt,2017,Urban,Data tabulated by year of registration,"Final figure, complete",2018,108224,15
Egypt,2017,Rural,Data tabulated by year of registration,"Final figure, complete",2018,90045,15
Egypt,2016,Total,Data tabulated by year of registration,"Final figure, complete",2018,192079,15
Egypt,2016,Urban,Data tabulated by year of registration,"Final figure, complete",2018,105200,15
Egypt,2016,Rural,Data tabulated by year of registration,"Final figure, complete",2018,86879,15
Egypt,2015,Total,Data tabulated by year of registration,"Final figure, complete",2018,199867,15
Egypt,2015,Urban,Data tabulated by year of registration,"Final figure, complete",2018,114780,15
Egypt,2015,Rural,Data tabulated by year of registration,"Final figure, complete",2018,85087,15
Egypt,2014,Total,Data tabulated by year of registration,"Final figure, complete",2016,180344,15
Egypt,2014,Urban,Data tabulated by year of registration,"Final figure, complete",2016,97953,15
Egypt,2014,Rural,Data tabulated by year of registration,"Final figure, complete",2016,82391,15
Egypt,2013,Total,Data tabulated by year of registration,"Final figure, complete",2015,162583,15
Egypt,2013,Urban,Data tabulated by year of registration,"Final figure, complete",2015,91040,15
Egypt,2013,Rural,Data tabulated by year of registration,"Final figure, complete",2015,71543,15
Egypt,2012,Total,Data tabulated by year of registration,"Final figure, complete",2014,155261,15
Egypt,2012,Urban,Data tabulated by year of registration,"Final figure, complete",2014,91789,15
Egypt,2012,Rural,Data tabulated by year of registration,"Final figure, complete",2014,63472,15
Egypt,2011,Total,Data tabulated by year of registration,"Final figure, complete",2013,151933,15
Egypt,2011,Urban,Data tabulated by year of registration,"Final figure, complete",2013,87091,15
Egypt,2011,Rural,Data tabulated by year of registration,"Final figure, complete",2013,64842,15
Egypt,2010,Total,Data tabulated by year of registration,"Final figure, complete",2012,149376,15
Egypt,2010,Urban,Data tabulated by year of registration,"Final figure, complete",2012,85686,15
Egypt,2010,Rural,Data tabulated by year of registration,"Final figure, complete",2012,63690,15
Egypt,2009,Total,Data tabulated by year of registration,"Final figure, complete",2011,141467,15
Egypt,2009,Urban,Data tabulated by year of registration,"Final figure, complete",2011,75134,15
Egypt,2009,Rural,Data tabulated by year of registration,"Final figure, complete",2011,66333,15
Egypt,2008,Total,Data tabulated by year of registration,"Final figure, complete",2009,84430,15
Egypt,2008,Urban,Data tabulated by year of registration,"Final figure, complete",2009,44593,15
Egypt,2008,Rural,Data tabulated by year of registration,"Final figure, complete",2009,39837,15
Equatorial Guinea,2023,Total,Data tabulated by year of registration,"Final figure, complete",2024,46,
Equatorial Guinea,2023,Urban,Data tabulated by year of registration,"Final figure, complete",2024,33,
Equatorial Guinea,2023,Rural,Data tabulated by year of registration,"Final figure, complete",2024,13,
Estonia,2023,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,2648,
Estonia,2022,Total,Data tabulated by year of occurrence,"Final figure, complete",2023,2546,
Estonia,2021,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,2554,
Estonia,2020,Total,Data tabulated by year of occurrence,"Final figure, complete",2021,2555,
Estonia,2020,Urban,Data tabulated by year of occurrence,"Final figure, complete",2021,1724,"12,16"
Estonia,2020,Rural,Data tabulated by year of occurrence,"Final figure, complete",2021,753,"12,16"
Estonia,2019,Total,Data tabulated by year of occurrence,"Final figure, complete",2020,2790,
Estonia,2019,Urban,Data tabulated by year of occurrence,"Final figure, complete",2020,1903,"12,16"
Estonia,2019,Rural,Data tabulated by year of occurrence,"Final figure, complete",2020,744,"12,16"
Estonia,2018,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,3199,
Estonia,2018,Urban,Data tabulated by year of occurrence,"Final figure, complete",2019,2209,"12,16"
Estonia,2018,Rural,Data tabulated by year of occurrence,"Final figure, complete",2019,828,"12,16"
Estonia,2017,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,3323,
Estonia,2017,Urban,Data tabulated by year of occurrence,"Final figure, complete",2018,2283,"12,16"
Estonia,2017,Rural,Data tabulated by year of occurrence,"Final figure, complete",2018,863,"12,16"
Estonia,2016,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,3262,
Estonia,2016,Urban,Data tabulated by year of occurrence,"Final figure, complete",2017,2143,"12,16"
Estonia,2016,Rural,Data tabulated by year of occurrence,"Final figure, complete",2017,908,"12,16"
Estonia,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,3382,
Estonia,2015,Urban,Data tabulated by year of occurrence,"Final figure, complete",2016,2226,"12,16"
Estonia,2015,Rural,Data tabulated by year of occurrence,"Final figure, complete",2016,985,"12,16"
Estonia,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,3218,
Estonia,2014,Urban,Data tabulated by year of occurrence,"Final figure, complete",2015,2197,"12,16"
Estonia,2014,Rural,Data tabulated by year of occurrence,"Final figure, complete",2015,836,"12,16"
Estonia,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2014,3343,
Estonia,2013,Urban,Data tabulated by year of occurrence,"Final figure, complete",2014,2275,"12,16"
Estonia,2013,Rural,Data tabulated by year of occurrence,"Final figure, complete",2014,888,"12,16"
Estonia,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2013,3142,
Estonia,2012,Urban,Data tabulated by year of occurrence,"Final figure, complete",2013,2168,"12,16"
Estonia,2012,Rural,Data tabulated by year of occurrence,"Final figure, complete",2013,892,"12,16"
Estonia,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2012,3099,
Estonia,2011,Urban,Data tabulated by year of occurrence,"Final figure, complete",2012,2169,"12,16"
Estonia,2011,Rural,Data tabulated by year of occurrence,"Final figure, complete",2012,848,"12,16"
Estonia,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,2989,
Estonia,2010,Urban,Data tabulated by year of occurrence,"Final figure, complete",2011,2106,"12,16"
Estonia,2010,Rural,Data tabulated by year of occurrence,"Final figure, complete",2011,812,"12,16"
Estonia,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2010,3189,
Estonia,2009,Urban,Data tabulated by year of occurrence,"Final figure, complete",2010,2242,"12,16"
Estonia,2009,Rural,Data tabulated by year of occurrence,"Final figure, complete",2010,856,"12,16"
Estonia,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2009,3501,
Estonia,2008,Urban,Data tabulated by year of occurrence,"Final figure, complete",2009,2488,"12,16"
Estonia,2008,Rural,Data tabulated by year of occurrence,"Final figure, complete",2009,919,"12,16"
Eswatini,2017,Total,Vital statistics from census,Other estimate,2020,2731,
Eswatini,2017,Urban,Vital statistics from census,Other estimate,2020,1264,
Eswatini,2017,Rural,Vital statistics from census,Other estimate,2020,1467,
Faroe Islands,2024,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,30,5
Faroe Islands,2024,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,22,5
Faroe Islands,2024,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,8,5
Faroe Islands,2023,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,55,5
Faroe Islands,2023,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,33,"5,17"
Faroe Islands,2023,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,20,"5,17"
Faroe Islands,2022,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,68,5
Faroe Islands,2022,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,32,"5,17"
Faroe Islands,2022,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,27,"5,17"
Faroe Islands,2021,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,58,5
Faroe Islands,2021,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,34,"5,17"
Faroe Islands,2021,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,22,"5,17"
Faroe Islands,2020,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,81,5
Faroe Islands,2020,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,49,"5,17"
Faroe Islands,2020,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,26,"5,17"
Faroe Islands,2019,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,67,5
Faroe Islands,2019,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,38,"5,17"
Faroe Islands,2019,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,25,"5,17"
Faroe Islands,2018,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,72,5
Faroe Islands,2018,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,42,"5,17"
Faroe Islands,2018,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,21,"5,17"
Faroe Islands,2017,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,62,5
Faroe Islands,2017,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,33,"5,17"
Faroe Islands,2017,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,25,"5,17"
Faroe Islands,2016,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,61,5
Faroe Islands,2016,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,42,"5,17"
Faroe Islands,2016,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,16,"5,17"
Faroe Islands,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,67,5
Faroe Islands,2015,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,31,"5,17"
Faroe Islands,2015,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,28,"5,17"
Faroe Islands,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2025,94,5
Faroe Islands,2014,Urban,Data tabulated by year of occurrence,"Final figure, complete",2025,52,"5,17"
Faroe Islands,2014,Rural,Data tabulated by year of occurrence,"Final figure, complete",2025,33,"5,17"
Faroe Islands,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,80,5
Faroe Islands,2013,Urban,Data tabulated by year of occurrence,"Final figure, complete",2024,43,"5,17"
Faroe Islands,2013,Rural,Data tabulated by year of occurrence,"Final figure, complete",2024,27,"5,17"
Faroe Islands,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,78,
Faroe Islands,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,87,
Faroe Islands,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,92,
Faroe Islands,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,67,
Faroe Islands,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,59,
Finland,2023,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,11475,7
Finland,2022,Total,Data tabulated by year of occurrence,"Final figure, complete",2023,11370,7
Finland,2021,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,12166,7
Finland,2020,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,13478,7
Finland,2019,Total,Data tabulated by year of occurrence,"Final figure, complete",2020,13105,"7,18"
Finland,2019,Urban,Data tabulated by year of occurrence,"Final figure, complete",2020,9930,"7,18"
Finland,2019,Rural,Data tabulated by year of occurrence,"Final figure, complete",2020,3175,"7,18"
Finland,2018,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,12945,"7,18"
Finland,2018,Urban,Data tabulated by year of occurrence,"Final figure, complete",2019,9971,"7,18"
Finland,2018,Rural,Data tabulated by year of occurrence,"Final figure, complete",2019,2974,"7,18"
Finland,2017,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,13188,"7,18"
Finland,2017,Urban,Data tabulated by year of occurrence,"Final figure, complete",2018,10013,"7,18"
Finland,2017,Rural,Data tabulated by year of occurrence,"Final figure, complete",2018,3175,"7,18"
Finland,2016,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,13479,"7,18"
Finland,2016,Urban,Data tabulated by year of occurrence,"Final figure, complete",2017,10254,"7,18"
Finland,2016,Rural,Data tabulated by year of occurrence,"Final figure, complete",2017,3225,"7,18"
Finland,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,13862,"7,18"
Finland,2015,Urban,Data tabulated by year of occurrence,"Final figure, complete",2016,10521,"7,18"
Finland,2015,Rural,Data tabulated by year of occurrence,"Final figure, complete",2016,3341,"7,18"
Finland,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,13632,"7,18"
Finland,2014,Urban,Data tabulated by year of occurrence,"Final figure, complete",2015,10229,"7,18"
Finland,2014,Rural,Data tabulated by year of occurrence,"Final figure, complete",2015,3403,"7,18"
Finland,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,13712,"7,18"
Finland,2013,Urban,Data tabulated by year of occurrence,"Final figure, complete",2015,10257,"7,18"
Finland,2013,Rural,Data tabulated by year of occurrence,"Final figure, complete",2015,3455,"7,18"
Finland,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,12977,"7,18"
Finland,2012,Urban,Data tabulated by year of occurrence,"Final figure, complete",2015,9637,"7,18"
Finland,2012,Rural,Data tabulated by year of occurrence,"Final figure, complete",2015,3340,"7,18"
Finland,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,13416,"7,18"
Finland,2011,Urban,Data tabulated by year of occurrence,"Final figure, complete",2015,10019,"7,18"
Finland,2011,Rural,Data tabulated by year of occurrence,"Final figure, complete",2015,3397,"7,18"
Finland,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,13567,"7,18"
Finland,2010,Urban,Data tabulated by year of occurrence,"Final figure, complete",2015,10165,"7,18"
Finland,2010,Rural,Data tabulated by year of occurrence,"Final figure, complete",2015,3402,"7,18"
Finland,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,13474,"7,18"
Finland,2009,Urban,Data tabulated by year of occurrence,"Final figure, complete",2015,10039,"7,18"
Finland,2009,Rural,Data tabulated by year of occurrence,"Final figure, complete",2015,3435,"7,18"
Finland,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,13427,"7,18"
Finland,2008,Urban,Data tabulated by year of occurrence,"Final figure, complete",2015,10013,"7,18"
Finland,2008,Rural,Data tabulated by year of occurrence,"Final figure, complete",2015,3414,"7,18"
France,2016,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,124768,
France,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,120731,
France,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,120568,
France,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2014,121849,
France,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2013,125217,
France,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2012,129802,
France,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2012,130810,
France,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,127578,
France,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2010,129379,
French Guiana,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,209,
French Guiana,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,251,
French Guiana,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,216,
French Guiana,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,219,
French Guiana,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,221,
French Guiana,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,191,
French Guiana,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,193,
French Guiana,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,193,
Georgia,2023,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,13664,
Georgia,2023,Urban,Data tabulated by year of occurrence,"Final figure, complete",2024,8776,
Georgia,2023,Rural,Data tabulated by year of occurrence,"Final figure, complete",2024,4888,
Georgia,2022,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,14098,
Georgia,2022,Urban,Data tabulated by year of occurrence,"Final figure, complete",2024,9330,
Georgia,2022,Rural,Data tabulated by year of occurrence,"Final figure, complete",2024,4768,
Georgia,2021,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,10654,
Georgia,2020,Total,Data tabulated by year of occurrence,"Final figure, complete",2021,7643,
Georgia,2019,Total,Data tabulated by year of occurrence,"Final figure, complete",2021,11205,
Georgia,2018,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,10288,
Georgia,2017,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,10222,
Georgia,2016,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,9539,
Georgia,2016,Urban,Data tabulated by year of occurrence,"Final figure, complete",2017,6565,
Georgia,2016,Rural,Data tabulated by year of occurrence,"Final figure, complete",2017,2974,
Georgia,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,9112,
Georgia,2015,Urban,Data tabulated by year of occurrence,"Final figure, complete",2017,6320,
Georgia,2015,Rural,Data tabulated by year of occurrence,"Final figure, complete",2017,2792,
Georgia,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,9119,
Georgia,2014,Urban,Data tabulated by year of occurrence,"Final figure, complete",2017,6253,
Georgia,2014,Rural,Data tabulated by year of occurrence,"Final figure, complete",2017,2866,
Georgia,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,8089,
Georgia,2013,Urban,Data tabulated by year of occurrence,"Final figure, complete",2017,5693,
Georgia,2013,Rural,Data tabulated by year of occurrence,"Final figure, complete",2017,2396,
Georgia,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,7136,
Georgia,2012,Urban,Data tabulated by year of occurrence,"Final figure, complete",2017,5158,
Georgia,2012,Rural,Data tabulated by year of occurrence,"Final figure, complete",2017,1978,
Georgia,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2012,5850,
Georgia,2011,Urban,Data tabulated by year of occurrence,"Final figure, complete",2012,4384,
Georgia,2011,Rural,Data tabulated by year of occurrence,"Final figure, complete",2012,1466,
Georgia,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,4726,
Georgia,2010,Urban,Data tabulated by year of occurrence,"Final figure, complete",2011,3636,
Georgia,2010,Rural,Data tabulated by year of occurrence,"Final figure, complete",2011,1090,
Georgia,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,4030,
Georgia,2009,Urban,Data tabulated by year of occurrence,"Final figure, complete",2011,3249,
Georgia,2009,Rural,Data tabulated by year of occurrence,"Final figure, complete",2011,781,
Georgia,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2009,3189,
Georgia,2008,Urban,Data tabulated by year of occurrence,"Final figure, complete",2009,2665,
Georgia,2008,Rural,Data tabulated by year of occurrence,"Final figure, complete",2009,524,
Germany,2023,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,129008,5
Germany,2022,Total,Data tabulated by year of occurrence,"Final figure, complete",2023,137353,5
Germany,2021,Total,Data tabulated by year of occurrence,"Final figure, complete",2023,142751,5
Germany,2020,Total,Data tabulated by year of occurrence,"Final figure, complete",2021,143801,5
Germany,2019,Total,Data tabulated by year of occurrence,"Final figure, complete",2020,149010,5
Germany,2018,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,148066,
Germany,2017,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,153501,
Germany,2016,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,162397,
Germany,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,163335,
Germany,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,166199,
Germany,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2014,169833,
Germany,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2013,179147,
Germany,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2012,187640,
Germany,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,187027,
Germany,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,185817,
Germany,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2009,191948,
Gibraltar,2016,Total,Data tabulated by year of registration,"Final figure, complete",2019,85,
Gibraltar,2015,Total,Data tabulated by year of registration,"Final figure, complete",2017,61,
Gibraltar,2014,Total,Data tabulated by year of registration,"Final figure, complete",2017,72,
Gibraltar,2013,Total,Data tabulated by year of registration,"Final figure, complete",2015,84,
Gibraltar,2012,Total,Data tabulated by year of registration,"Final figure, complete",2014,91,
Gibraltar,2011,Total,Data tabulated by year of registration,"Final figure, complete",2014,93,
Gibraltar,2010,Total,Data tabulated by year of registration,"Final figure, complete",2014,72,
Gibraltar,2009,Total,Data tabulated by year of registration,"Final figure, complete",2014,76,
Gibraltar,2008,Total,Data tabulated by year of registration,"Final figure, complete",2014,78,
Greece,2023,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,15114,
Greece,2017,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,19190,
Greece,2016,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,11013,
Greece,2015,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,15600,
Greece,2014,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,14427,
Greece,2013,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,16717,
Greece,2012,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,14880,
Greece,2011,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,12705,
Greece,2010,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,13275,
Greece,2009,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,13607,
Greece,2008,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,13163,
Greenland,2023,Total,Data tabulated by year of occurrence,"Final figure, complete",2024,136,
Greenland,2022,Total,Data tabulated by year of occurrence,"Final figure, complete",2023,151,
Greenland,2021,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,131,
Greenland,2020,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,136,
Greenland,2019,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,121,
Greenland,2018,Total,Data tabulated by year of occurrence,"Final figure, complete",2022,135,
Grenada,2018,Total,Data tabulated by year of registration,"Final figure, complete",2023,179,
Grenada,2017,Total,Data tabulated by year of registration,"Final figure, complete",2023,137,
